"Day","Usd","Market_Cap","Btc","Volume","Heighs","Lows"
"1","2.83162","0","0.0101411","90621","3.54","2.52"
"2","1.33075","80339474","0.00495364","368070","2.8","0.71"
"3","0.718413","43390263","0.00269075","743154","0.88","0.63"
"4","0.643769","38898715","0.0024399","426915","0.73","0.64"
"5","0.75046","45369473","0.00282948","501828","1.13","0.66"
"6","1.09408","66171951","0.00410567","2350560","1.29","0.88"
"7","1.43605","86892350","0.00543304","2267030","1.97","1.17"
"8","2.18547","132298489","0.00822514","5633380","2.26","1.75"
"9","1.62884","98648514","0.00613278","3541220","1.88","1.57"
"10","1.41008","85435698","0.00542908","3320980","1.7","1.09"
"11","1.2777","77448311","0.00494876","2112170","1.58","1.19"
"12","1.25111","90759742","0.00492631","1631370","1.33","1.09"
"13","1.23344","89509421","0.00529622","1726800","1.32","1.17"
"14","1.42324","103319674","0.00607928","1883050","1.53","1.25"
"15","1.52923","111044685","0.00654524","2557030","1.56","1.35"
"16","1.4326","104065432","0.00630416","1626510","1.48","1.35"
"17","1.31819","95788353","0.00573491","1596800","1.41","1.3"
"18","1.29085","93834397","0.00584501","953490","1.36","1.23"
"19","1.13386","82450858","0.00519785","1150900","1.24","1.13"
"20","1.18854","86457751","0.00519443","1246990","1.2","1.06"
"21","1.13735","82761292","0.00501229","649447","1.19","1.14"
"22","1.16945","85124926","0.00511602","869767","1.21","1.12"
"23","1.15959","84433215","0.00505092","411917","1.21","1.15"
"24","1.29226","94119631","0.0056509","1106680","1.37","1.17"
"25","1.33424","97205308","0.00581711","1585480","1.4","1.2"
"26","1.36205","99258434","0.00597326","702061","1.39","1.34"
"27","1.32183","96352789","0.005773","774641","1.35","1.26"
"28","1.22057","88991741","0.00535375","958283","1.31","1.21"
"29","1.27071","92672957","0.00553476","500545","1.3","1.24"
"30","1.30895","95493564","0.00559853","348135","1.34","1.27"
"31","1.32205","96482211","0.00547511","557762","1.37","1.29"
"32","1.25613","91701931","0.00522279","567383","1.31","1.24"
"33","1.24681","91051505","0.00513966","333500","1.28","1.23"
"34","1.24914","91253475","0.00522292","398039","1.26","1.2"
"35","1.20929","88372350","0.0050528","340658","1.22","1.14"
"36","0.996344","72836199","0.00415672","1712070","1.17","0.94"
"37","1.05297","77002591","0.00440958","1283270","1.11","0.97"
"38","0.985603","72100999","0.0042231","501030","1.04","0.9"
"39","0.891943","65270921","0.0038465","813796","0.95","0.87"
"40","0.982715","71937303","0.00425576","749725","1.05","0.88"
"41","0.92787","67945322","0.00405499","602725","0.95","0.9"
"42","0.868778","63639661","0.00378042","889422","0.91","0.83"
"43","0.862011","63164865","0.0036895","458725","0.89","0.83"
"44","0.854085","62605818","0.00368727","436631","0.91","0.83"
"45","0.905599","66405854","0.00390701","494462","0.95","0.87"
"46","0.90469","66366172","0.00396695","437068","0.96","0.88"
"47","0.905667","66460539","0.00392631","521468","0.92","0.87"
"48","0.895256","65719664","0.00387667","250246","0.91","0.89"
"49","0.854913","62779561","0.00363083","703524","0.91","0.79"
"50","0.759275","55775707","0.00322251","993513","0.83","0.71"
"51","0.742177","54538264","0.00316511","327593","0.79","0.71"
"52","0.730005","53661532","0.00313043","473869","0.79","0.72"
"53","0.637005","46840376","0.00267793","1039950","0.73","0.56"
"54","0.653765","48087962","0.0027534","1220220","0.68","0.56"
"55","0.724364","53298029","0.00305817","573890","0.75","0.64"
"56","0.690573","50829539","0.00290633","663012","0.73","0.66"
"57","0.671786","49463919","0.00283325","233249","0.69","0.65"
"58","0.695455","51224632","0.00291138","173219","0.71","0.68"
"59","0.665442","49029996","0.00278897","100363","0.69","0.66"
"60","0.657051","48428249","0.0027431","160792","0.67","0.62"
"61","0.632599","46641391","0.00257052","317562","0.65","0.61"
"62","0.619119","45662886","0.00252931","190129","0.66","0.6"
"63","0.599494","44230826","0.00246388","251648","0.63","0.59"
"64","0.660658","48759804","0.0027107","474870","0.69","0.63"
"65","0.631135","46596489","0.00257844","169609","0.65","0.62"
"66","0.630541","46568776","0.00255998","107155","0.64","0.62"
"67","0.636484","47023886","0.00259234","97752","0.66","0.63"
"68","0.606636","44834228","0.00243319","236344","0.63","0.6"
"69","0.52611","38895901","0.0020777","827383","0.61","0.48"
"70","0.565953","41855476","0.00222544","558993","0.57","0.51"
"71","0.527295","39009400","0.00200987","285371","0.57","0.52"
"72","0.56186","41580924","0.00210708","298388","0.56","0.53"
"73","0.517889","38339607","0.00197399","140579","0.55","0.51"
"74","0.491283","36382205","0.00187019","253934","0.52","0.48"
"75","0.480749","35614001","0.00178527","248435","0.5","0.43"
"76","0.422475","31307647","0.00158166","681066","0.48","0.42"
"77","0.619466","45920643","0.00226434","753020","0.62","0.42"
"78","0.554031","41084520","0.00200485","1012760","0.61","0.5"
"79","0.545888","40494951","0.00196034","359611","0.58","0.52"
"80","0.673224","49958287","0.00233782","550888","0.69","0.56"
"81","0.680178","50490987","0.00238999","970492","0.76","0.6"
"82","0.785891","58358780","0.00266845","1869480","0.9","0.71"
"83","1.03441","76838923","0.00342911","2038880","1.06","0.81"
"84","1.15956","86165263","0.0037014","2632620","1.21","0.95"
"85","1.054","78348805","0.00325909","2511200","1.35","0.97"
"86","0.909637","67641744","0.00290852","683935","1.06","0.9"
"87","1.05062","78153437","0.00322929","580713","1.08","0.9"
"88","0.953811","70976019","0.00264331","1092130","1.1","0.95"
"89","0.997756","74271485","0.00250956","1955420","1.07","0.94"
"90","0.892536","66462024","0.00223974","2971250","1.04","0.73"
"91","0.901961","67186858","0.00230972","1223520","0.99","0.86"
"92","0.892709","66520510","0.00239947","910595","0.99","0.85"
"93","0.92468","68926285","0.00238901","889471","0.94","0.86"
"94","1.02298","76279337","0.00274681","1006750","1.03","0.92"
"95","0.995461","74252362","0.00261612","2051660","1.11","0.95"
"96","0.920968","68719109","0.00272266","852037","1.05","0.92"
"97","0.780376","58248283","0.00255016","1242930","0.95","0.73"
"98","0.899769","67182849","0.00268083","819292","0.91","0.76"
"99","0.89639","66953444","0.00266905","543361","0.92","0.85"
"100","0.895713","66926148","0.00268942","378938","0.91","0.88"
"101","0.907901","67860384","0.00283954","405150","0.92","0.87"
"102","0.924759","69143754","0.00279923","616392","0.94","0.89"
"103","0.999183","74734187","0.00298627","1159970","1.03","0.91"
"104","0.992681","74273033","0.00296607","660616","1.01","0.94"
"105","0.953748","71383817","0.00292192","442128","1.01","0.94"
"106","0.928143","69489301","0.00288161","616820","0.96","0.9"
"107","0.968713","72552099","0.00296849","457709","0.98","0.92"
"108","0.967793","72507763","0.00298886","352712","0.98","0.96"
"109","0.9408","70509324","0.00292313","448238","0.97","0.93"
"110","0.883399","66229240","0.00276034","558326","0.95","0.9"
"111","0.87085","65310149","0.00262349","595059","0.9","0.85"
"112","0.877679","65844023","0.00249841","932648","0.9","0.8"
"113","0.884117","66353697","0.00247684","523576","0.9","0.86"
"114","0.904788","67927873","0.00254175","348415","0.93","0.86"
"115","0.853092","64068182","0.00226743","622045","0.91","0.86"
"116","0.869735","65340277","0.00230235","674126","0.9","0.85"
"117","0.847603","63698895","0.00239471","629759","0.89","0.85"
"118","0.816346","61370121","0.00221787","593841","0.88","0.82"
"119","0.810704","60966627","0.00225978","367831","0.84","0.79"
"120","0.834842","62803022","0.00225401","221871","0.86","0.8"
"121","0.874011","65770940","0.00218277","350867","0.87","0.82"
"122","0.820218","61743099","0.0021025","478709","0.88","0.83"
"123","0.790543","59529251","0.00200934","465547","0.85","0.79"
"124","0.78679","59265869","0.00187942","520265","0.82","0.78"
"125","0.792909","59747560","0.00190949","454250","0.82","0.77"
"126","0.836892","63083253","0.00198083","381638","0.86","0.79"
"127","0.96049","72423904","0.0022455","1204430","0.93","0.82"
"128","0.97204","73319966","0.00224249","854989","1.05","0.93"
"129","0.986017","74399997","0.00224998","328743","0.99","0.94"
"130","1.0002","75495316","0.00220212","590517","1.01","0.95"
"131","0.993618","75023286","0.00219769","506528","1.03","0.98"
"132","0.990385","74803967","0.00217304","285523","1.02","0.97"
"133","0.918964","69432771","0.00200983","655652","1.0","0.91"
"134","0.905155","68412181","0.0019514","250567","0.94","0.91"
"135","0.917421","69362220","0.00199562","376019","0.93","0.89"
"136","0.910805","68884533","0.00207406","516833","0.94","0.9"
"137","0.895223","67728508","0.00203657","524508","0.92","0.89"
"138","0.870907","65911230","0.00198224","470235","0.91","0.86"
"139","0.862629","65306709","0.0018957","319626","0.88","0.86"
"140","0.876426","66373178","0.00191402","334625","0.88","0.85"
"141","0.872318","66084059","0.00197866","168020","0.88","0.86"
"142","0.847465","64222563","0.00204747","406341","0.9","0.84"
"143","0.872314","66127773","0.00203363","189271","0.86","0.84"
"144","0.843111","63935354","0.0019922","207540","0.87","0.83"
"145","0.898058","68124403","0.00208073","310058","0.87","0.83"
"146","0.957337","72645173","0.00225814","755508","0.94","0.87"
"147","0.950158","72124574","0.00218338","441898","0.98","0.91"
"148","0.96158","73015063","0.00221533","272504","0.95","0.93"
"149","0.949483","72120640","0.00220172","224004","0.97","0.94"
"150","0.966162","73412385","0.00224413","349742","0.99","0.93"
"151","0.960645","73017786","0.00221749","392766","0.98","0.93"
"152","0.945596","71897692","0.00220419","229727","0.97","0.95"
"153","0.961688","73145989","0.00218706","411299","0.96","0.94"
"154","0.967989","73649516","0.00212176","613037","0.97","0.94"
